EmployeeID,AvgMonthlyWorkingHours,AvgMonthlyOvertimeHours,AbsenteeismRate
E0001,176,7,0.01
E0002,204,0,0.0
E0003,193,2,0.0
E0004,174,2,0.14
E0005,216,32,0.02
E0006,152,24,0.14
E0007,173,31,0.09
E0008,140,3,0.07
E0009,153,30,0.12
E0010,141,3,0.1
E0011,165,7,0.04
E0012,140,15,0.14
E0013,192,22,0.14
E0014,167,9,0.01
E0015,156,40,0.04
E0016,210,34,0.09
E0017,160,37,0.08
E0018,179,26,0.06
E0019,176,18,0.14
E0020,155,28,0.0
E0021,201,3,0.03
E0022,147,12,0.12
E0023,220,34,0.04
E0024,189,18,0.09
E0025,208,27,0.07
E0026,214,16,0.08
E0027,178,8,0.15
E0028,207,5,0.08
E0029,157,31,0.14
E0030,140,34,0.01
E0031,210,12,0.01
E0032,211,21,0.1
E0033,156,25,0.06
E0034,199,39,0.0
E0035,204,1,0.01
E0036,155,26,0.09
E0037,150,11,0.04
E0038,163,37,0.0
E0039,161,23,0.09
E0040,145,13,0.06
E0041,157,18,0.07
E0042,193,4,0.12
E0043,208,7,0.15
E0044,168,38,0.1
E0045,170,14,0.12
E0046,153,6,0.0
E0047,149,33,0.08
E0048,168,15,0.08
E0049,175,4,0.09
E0050,168,4,0.1
E0051,202,31,0.13
E0052,166,5,0.12
E0053,207,28,0.07
E0054,208,26,0.05
E0055,199,23,0.13
E0056,148,4,0.07
E0057,213,24,0.13
E0058,176,1,0.06
E0059,153,12,0.0
E0060,211,19,0.04
E0061,188,14,0.13
E0062,189,4,0.06
E0063,158,6,0.06
E0064,161,35,0.12
E0065,169,19,0.13
E0066,145,20,0.01
E0067,215,9,0.12
E0068,181,10,0.13
E0069,196,33,0.06
E0070,163,25,0.12
E0071,185,37,0.1
E0072,185,1,0.14
E0073,215,6,0.02
E0074,213,18,0.09
E0075,175,5,0.04
E0076,140,25,0.1
E0077,142,32,0.15
E0078,199,30,0.07
E0079,175,1,0.13
E0080,190,20,0.03
E0081,205,15,0.15
E0082,217,25,0.13
E0083,220,25,0.15
E0084,161,0,0.07
E0085,151,11,0.02
E0086,211,13,0.14
E0087,184,6,0.08
E0088,214,38,0.08
E0089,185,26,0.11
E0090,162,25,0.05
E0091,209,34,0.08
E0092,144,18,0.04
E0093,141,16,0.02
E0094,200,14,0.13
E0095,198,29,0.07
E0096,198,29,0.02
E0097,155,0,0.05
E0098,161,1,0.07
E0099,196,29,0.07
E0100,161,33,0.1
E0101,160,26,0.03
E0102,148,40,0.04
E0103,188,40,0.05
E0104,210,15,0.07
E0105,216,30,0.13
E0106,212,9,0.05
E0107,152,36,0.13
E0108,167,19,0.05
E0109,187,30,0.01
E0110,169,9,0.06
E0111,209,9,0.01
E0112,180,17,0.11
E0113,202,14,0.02
E0114,204,30,0.04
E0115,208,36,0.08
E0116,216,2,0.04
E0117,143,7,0.06
E0118,183,29,0.02
E0119,200,23,0.15
E0120,152,10,0.02
E0121,141,8,0.08
E0122,187,5,0.02
E0123,151,36,0.1
E0124,159,6,0.03
E0125,161,29,0.0
E0126,178,10,0.01
E0127,211,32,0.02
E0128,216,32,0.02
E0129,208,40,0.02
E0130,214,40,0.11
E0131,156,23,0.01
E0132,176,4,0.13
E0133,158,20,0.14
E0134,212,9,0.14
E0135,168,5,0.14
E0136,182,31,0.04
E0137,155,6,0.01
E0138,156,27,0.12
E0139,186,25,0.13
E0140,143,9,0.11
E0141,144,13,0.05
E0142,215,29,0.04
E0143,195,19,0.04
E0144,175,25,0.04
E0145,181,31,0.09
E0146,155,36,0.12
