EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,PerformanceRating,YearsAtCompany,JoinDate,ExitDate,Attrition
E0001,37,Male,HR,Manager,86811,2,5,2023-11-01,,No
E0002,36,Female,IT,Executive,84898,5,9,2024-10-04,,No
E0003,39,Male,Operations,Manager,114271,4,3,2022-04-15,,No
E0004,47,Female,Operations,Senior Executive,97006,2,14,2024-11-09,2025-03-01,Yes
E0005,58,Female,IT,Analyst,43366,5,9,2018-03-01,2021-06-07,Yes
E0006,44,Female,Sales,Analyst,83850,3,6,2019-09-24,,No
E0007,22,Female,HR,Analyst,90164,5,7,2020-06-19,,No
E0008,28,Female,Finance,Analyst,74905,2,6,2020-06-10,,No
E0009,36,Male,Sales,Manager,54586,5,14,2019-12-29,,No
E0010,24,Female,HR,Manager,54829,2,7,2019-11-18,,No
E0011,48,Male,IT,Senior Executive,51310,2,7,2018-09-01,,No
E0012,59,Male,HR,Executive,91532,3,10,2020-12-22,,No
E0013,22,Male,Operations,Analyst,106496,5,2,2020-05-07,,No
E0014,50,Male,Operations,Senior Executive,99924,2,6,2020-11-27,,No
E0015,25,Male,HR,Senior Executive,72627,5,0,2024-07-12,,No
E0016,29,Male,IT,Executive,106247,5,7,2021-11-01,2024-04-16,Yes
E0017,45,Male,HR,Manager,27998,5,2,2023-04-09,,No
E0018,22,Female,Operations,Executive,41066,2,9,2020-10-28,,No
E0019,53,Female,IT,Senior Executive,50350,4,10,2018-04-17,2025-10-12,Yes
E0020,53,Female,Finance,Analyst,56003,3,10,2023-12-02,,No
E0021,27,Female,Operations,Executive,102296,5,0,2019-03-03,,No
E0022,49,Female,Sales,Analyst,68739,2,15,2019-04-03,,No
E0023,52,Male,HR,Executive,71565,4,4,2022-12-25,,No
E0024,51,Male,HR,Manager,46843,5,10,2019-08-28,,No
E0025,41,Female,HR,Manager,86050,5,13,2021-04-12,2022-06-25,Yes
E0026,38,Male,Sales,Analyst,88641,2,8,2021-10-12,2022-12-12,Yes
E0027,25,Female,Operations,Manager,29087,2,10,2019-01-24,,No
E0028,36,Female,Operations,Senior Executive,38911,4,3,2018-07-08,,No
E0029,25,Female,Operations,Executive,114798,3,6,2019-01-30,,No
E0030,28,Male,IT,Senior Executive,105504,2,14,2021-05-17,2024-06-25,Yes
E0031,49,Female,Sales,Senior Executive,103002,4,12,2018-11-14,,No
E0032,24,Male,Sales,Executive,87726,4,9,2020-07-07,2021-08-02,Yes
E0033,23,Male,IT,Executive,104698,2,0,2021-04-06,,No
E0034,56,Female,HR,Analyst,75828,4,3,2021-04-25,,No
E0035,47,Male,Finance,Executive,111708,5,8,2022-04-10,,No
E0036,27,Male,Operations,Senior Executive,43967,2,0,2019-01-28,,No
E0037,45,Female,HR,Analyst,93306,5,0,2021-01-30,,No
E0038,60,Male,IT,Analyst,46171,2,10,2022-12-12,,No
E0039,22,Male,Operations,Analyst,68752,4,4,2019-05-31,2023-10-28,Yes
E0040,42,Female,Operations,Executive,45815,2,2,2022-03-26,,No
E0041,23,Female,IT,Executive,32252,4,10,2019-10-03,,No
E0042,39,Female,Operations,Senior Executive,28738,3,10,2020-12-08,,No
E0043,48,Female,HR,Analyst,75000,4,10,2023-10-03,,No
E0044,29,Female,Operations,Executive,84228,4,3,2022-01-09,,No
E0045,22,Female,Sales,Senior Executive,114488,3,15,2025-01-18,,No
E0046,31,Female,Finance,Executive,32464,2,12,2023-07-12,,No
E0047,32,Female,Finance,Executive,73583,5,4,2019-01-02,2023-03-29,Yes
E0048,29,Female,HR,Manager,86254,3,4,2024-12-19,,No
E0049,34,Female,HR,Executive,105796,2,8,2020-11-09,,No
E0050,34,Female,Sales,Analyst,56797,4,12,2022-01-18,2024-08-07,Yes
E0051,24,Female,Finance,Manager,37843,2,9,2018-06-28,2020-10-24,Yes
E0052,28,Male,HR,Manager,69702,5,7,2020-05-20,,No
E0053,29,Female,IT,Executive,115494,2,5,2019-10-23,,No
E0054,39,Female,Finance,Manager,85408,5,14,2022-09-13,,No
E0055,59,Female,Finance,Manager,88150,2,0,2023-03-06,,No
E0056,54,Female,Sales,Manager,36997,5,3,2020-11-21,,No
E0057,25,Male,IT,Manager,107440,3,15,2020-03-18,,No
E0058,24,Female,HR,Analyst,94092,4,12,2021-09-13,,No
E0059,41,Female,IT,Manager,32595,2,5,2020-05-02,,No
E0060,28,Male,Sales,Senior Executive,71115,3,4,2019-03-09,,No
E0061,45,Male,Operations,Manager,68380,3,13,2020-02-14,,No
E0062,57,Male,Operations,Manager,98322,5,8,2022-12-17,,No
E0063,46,Female,IT,Executive,104821,4,13,2018-07-21,,No
E0064,58,Male,Operations,Senior Executive,93976,5,5,2018-03-12,,No
E0065,40,Male,Operations,Analyst,32731,5,0,2018-11-29,2019-06-22,Yes
E0066,49,Male,IT,Analyst,116048,5,7,2021-12-23,2023-12-28,Yes
E0067,22,Female,Sales,Manager,37711,3,12,2018-06-19,,No
E0068,34,Male,IT,Analyst,91593,2,3,2019-10-14,,No
E0069,58,Male,Finance,Executive,111999,5,9,2018-03-13,,No
E0070,30,Female,Operations,Analyst,82803,2,0,2023-07-07,,No
E0071,58,Male,Operations,Analyst,62802,4,3,2018-04-18,,No
E0072,30,Female,IT,Senior Executive,34196,5,4,2019-08-28,2024-10-17,Yes
E0073,23,Female,Sales,Manager,91902,5,11,2018-06-12,2021-05-10,Yes
E0074,57,Male,Sales,Senior Executive,62916,3,14,2023-07-25,,No
E0075,25,Female,HR,Manager,73207,4,7,2023-12-09,2024-06-20,Yes
E0076,27,Female,Sales,Executive,51971,2,9,2023-05-05,,No
E0077,23,Male,Operations,Manager,91747,4,13,2023-12-13,,No
E0078,25,Female,Operations,Analyst,95737,4,1,2021-01-25,2025-04-04,Yes
E0079,36,Female,IT,Analyst,77500,5,2,2018-11-16,2021-07-29,Yes
E0080,50,Male,IT,Executive,74104,4,1,2020-10-22,,No
E0081,35,Female,Operations,Manager,72747,2,0,2025-01-28,,No
E0082,32,Male,IT,Executive,56153,4,15,2020-10-14,,No
E0083,44,Male,IT,Executive,95713,2,2,2022-12-16,,No
E0084,46,Female,Finance,Manager,34338,2,9,2023-10-28,,No
E0085,30,Male,HR,Manager,58985,4,11,2018-04-11,2019-05-18,Yes
E0086,44,Female,Finance,Senior Executive,61307,3,0,2024-05-29,2024-08-29,Yes
E0087,28,Female,Finance,Analyst,22494,5,5,2019-09-19,,No
E0088,32,Male,Sales,Senior Executive,114598,2,15,2024-12-11,2025-12-08,Yes
E0089,33,Female,Sales,Analyst,28620,4,12,2022-01-29,2022-06-08,Yes
E0090,57,Female,Sales,Executive,63196,3,8,2023-07-12,,No
E0091,46,Male,IT,Manager,65763,2,14,2020-12-24,,No
E0092,50,Male,IT,Manager,107386,2,2,2020-10-11,,No
E0093,53,Male,HR,Executive,83375,4,4,2024-10-17,,No
E0094,34,Male,HR,Senior Executive,115127,2,5,2019-01-08,,No
E0095,27,Male,Sales,Manager,25998,4,4,2024-05-01,,No
E0096,30,Male,Finance,Analyst,89254,5,1,2019-04-29,,No
E0097,36,Male,HR,Executive,63253,2,14,2021-02-22,,No
E0098,39,Male,HR,Executive,82520,4,13,2018-10-05,,No
E0099,34,Female,HR,Executive,70821,3,15,2022-11-30,2025-09-08,Yes
E0100,46,Female,HR,Manager,36738,5,0,2019-08-18,2024-06-23,Yes
E0101,24,Male,Finance,Manager,115537,5,12,2022-07-24,2024-01-21,Yes
E0102,26,Male,Operations,Executive,105200,5,6,2020-05-06,,No
E0103,56,Male,Operations,Analyst,20458,4,2,2023-04-07,,No
E0104,42,Male,HR,Analyst,59623,3,1,2019-02-05,2022-06-16,Yes
E0105,60,Male,Operations,Manager,58165,4,9,2022-08-01,,No
E0106,55,Male,Sales,Manager,59218,4,12,2019-08-16,,No
E0107,32,Female,Sales,Executive,92286,4,3,2022-09-05,,No
E0108,59,Female,Operations,Executive,43625,2,9,2018-05-27,,No
E0109,22,Female,HR,Analyst,44606,5,1,2023-06-11,2023-12-17,Yes
E0110,40,Male,Operations,Analyst,52796,4,15,2021-03-08,2024-07-21,Yes
E0111,47,Male,HR,Analyst,86153,2,12,2024-10-30,,No
E0112,46,Male,Sales,Analyst,58945,3,0,2019-03-25,2023-07-14,Yes
E0113,54,Female,IT,Analyst,79382,5,1,2021-02-15,,No
E0114,31,Female,Sales,Executive,38566,2,11,2022-10-02,,No
E0115,54,Male,Operations,Analyst,53386,5,3,2024-06-28,,No
E0116,34,Female,Sales,Executive,59509,4,5,2020-03-21,,No
E0117,49,Female,Operations,Executive,105436,5,6,2021-02-05,,No
E0118,37,Male,Sales,Senior Executive,74595,3,8,2021-10-13,,No
E0119,50,Female,Finance,Analyst,106003,3,9,2018-04-09,,No
E0120,37,Female,Operations,Senior Executive,65740,2,0,2023-07-29,2023-11-08,Yes
E0121,39,Male,Operations,Executive,48134,2,9,2020-01-24,,No
E0122,39,Female,Sales,Senior Executive,52370,4,4,2021-09-13,,No
E0123,22,Male,Sales,Manager,24016,2,15,2024-03-22,2025-06-28,Yes
E0124,57,Male,Sales,Manager,36374,3,8,2022-04-15,,No
E0125,32,Female,Operations,Senior Executive,37794,5,15,2024-12-13,2025-07-01,Yes
E0126,51,Female,Sales,Analyst,67597,3,15,2021-08-10,,No
E0127,45,Female,Operations,Analyst,99084,4,14,2018-02-09,,No
E0128,38,Female,HR,Analyst,59455,5,5,2020-04-28,,No
